datetime,used_power,surplus_power
2016/09/17,1.55,234.00
2016/09/16,0.00,235.55
2016/09/15,0.00,235.55
2016/09/14,0.00,235.55
2016/09/13,0.00,235.55
2016/09/12,0.00,235.55
2016/09/11,0.00,235.55
2016/09/10,0.00,235.55
2016/09/09,0.00,235.55
2016/09/07,0.00,235.55
2016/09/06,0.00,235.55
2016/09/05,0.00,235.55
2016/09/04,0.00,235.55
2016/09/03,0.00,235.55
2016/09/02,0.00,235.55
2016/09/01,0.00,235.55
2016/08/31,0.00,235.55
2016/08/30,2.99,235.55
2016/08/29,-455.85,158.54
2016/08/28,2.64,22.69
2016/08/27,0.92,25.33
2016/08/25,63.40,26.25
